Retrained at 2026-03-28T17:48:37.114537+00:00
Features: ['RSI_14', 'MACD', 'BB_pct', 'BB_width', 'vol_ratio', 'dist_SMA50', 'mom_5d', 'mom_20d', 'overnight_gap', 'vol_price_div', 'mean_rev_z', 'vol_regime', 'rsi_divergence', 'body_ratio', 'ret_skew']

ok     HYG: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ICICIBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ICICIGI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     IEMG: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     INDUSINDBK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     INFY.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     INJ-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     INTC: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     IOC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     IRCTC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ITC.NS: 691 rows, classes=['BUY', 'HOLD', 'SELL']
ok     IWM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     JPM: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     JSWSTEEL.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     KOTAKBANK.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     LICI.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
ok     LINK-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     LT.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     LTC-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     LTIM.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
ok     LUPIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MA: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MARICO.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MARUTI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MATIC-USD: 679 rows, classes=['BUY', 'HOLD', 'SELL']
ok     META: 692 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MPHASIS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MRF.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MSFT: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MSTR: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     MUTHOOTFIN.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NAUKRI.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NEAR-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NESTLEIND.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NET: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NFLX: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NG=F: 707 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NMDC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NTPC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NVDA: 704 rows, classes=['BUY', 'HOLD', 'SELL']
ok     NYKAA.NS: 689 rows, classes=['BUY', 'HOLD', 'SELL']
ok     OFSS.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ONGC.NS: 690 rows, classes=['BUY', 'HOLD', 'SELL']
ok     OP-USD: 1048 rows, classes=['BUY', 'HOLD', 'SELL']
ok     ORCL: 704 rows, classes=['BUY', 'HOLD', 'SELL']
